Store,Date,IsHoliday,Dept,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size
1,2010-02-05,0,1,24924.5,42.31,2.572,0,0,0,0,0,211.0963582,8.106,3,151315
1,2010-02-05,0,2,50605.27,42.31,2.572,0,0,0,0,0,211.0963582,8.106,3,151315
1,2010-02-12,1,2,44682.74,38.51,2.548,0,0,0,0,0,211.2421698,8.106,3,151315
1,2010-02-12,1,1,46039.49,38.51,2.548,0,0,0,0,0,211.2421698,8.106,3,151315
1,2010-02-19,0,2,47928.89,39.93,2.514,0,0,0,0,0,211.2891429,8.106,3,151315
1,2010-02-19,0,1,41595.55,39.93,2.514,0,0,0,0,0,211.2891429,8.106,3,151315
1,2010-02-26,0,2,44292.87,46.63,2.561,0,0,0,0,0,211.3196429,8.106,3,151315
1,2010-02-26,0,1,19403.54,46.63,2.561,0,0,0,0,0,211.3196429,8.106,3,151315
1,2010-03-05,0,1,21827.9,46.5,2.625,0,0,0,0,0,211.3501429,8.106,3,151315
1,2010-03-05,0,2,48397.98,46.5,2.625,0,0,0,0,0,211.3501429,8.106,3,151315
1,2010-03-12,0,2,43751.94,57.79,2.667,0,0,0,0,0,211.3806429,8.106,3,151315
1,2010-03-12,0,1,21043.39,57.79,2.667,0,0,0,0,0,211.3806429,8.106,3,151315
1,2010-03-19,0,2,43615.49,54.58,2.72,0,0,0,0,0,211.215635,8.106,3,151315
1,2010-03-19,0,1,22136.64,54.58,2.72,0,0,0,0,0,211.215635,8.106,3,151315
1,2010-03-26,0,2,41892.55,51.45,2.732,0,0,0,0,0,211.0180424,8.106,3,151315
1,2010-03-26,0,1,26229.21,51.45,2.732,0,0,0,0,0,211.0180424,8.106,3,151315
1,2010-04-02,0,2,47450.5,62.27,2.719,0,0,0,0,0,210.8204499,7.808,3,151315
1,2010-04-02,0,1,57258.43,62.27,2.719,0,0,0,0,0,210.8204499,7.808,3,151315
1,2010-04-09,0,1,42960.91,65.86,2.77,0,0,0,0,0,210.6228574,7.808,3,151315
1,2010-04-09,0,2,46549.73,65.86,2.77,0,0,0,0,0,210.6228574,7.808,3,151315
1,2010-04-16,0,2,45025.02,66.32,2.808,0,0,0,0,0,210.4887,7.808,3,151315
1,2010-04-16,0,1,17596.96,66.32,2.808,0,0,0,0,0,210.4887,7.808,3,151315
1,2010-04-23,0,2,44418.11,64.84,2.795,0,0,0,0,0,210.4391228,7.808,3,151315
1,2010-04-23,0,1,16145.35,64.84,2.795,0,0,0,0,0,210.4391228,7.808,3,151315
1,2010-04-30,0,1,16555.11,67.41,2.78,0,0,0,0,0,210.3895456,7.808,3,151315
1,2010-04-30,0,2,45971.3,67.41,2.78,0,0,0,0,0,210.3895456,7.808,3,151315
1,2010-05-07,0,1,17413.94,72.55,2.835,0,0,0,0,0,210.3399684,7.808,3,151315
1,2010-05-07,0,2,47903.01,72.55,2.835,0,0,0,0,0,210.3399684,7.808,3,151315
1,2010-05-14,0,2,43675.61,74.78,2.854,0,0,0,0,0,210.3374261,7.808,3,151315
1,2010-05-14,0,1,18926.74,74.78,2.854,0,0,0,0,0,210.3374261,7.808,3,151315
1,2010-05-21,0,1,14773.04,76.44,2.826,0,0,0,0,0,210.6170934,7.808,3,151315
1,2010-05-21,0,2,44319.15,76.44,2.826,0,0,0,0,0,210.6170934,7.808,3,151315
1,2010-05-28,0,1,15580.43,80.44,2.759,0,0,0,0,0,210.8967606,7.808,3,151315
1,2010-05-28,0,2,44619.52,80.44,2.759,0,0,0,0,0,210.8967606,7.808,3,151315
1,2010-06-04,0,1,17558.09,80.69,2.705,0,0,0,0,0,211.1764278,7.808,3,151315
1,2010-06-04,0,2,48754.47,80.69,2.705,0,0,0,0,0,211.1764278,7.808,3,151315
1,2010-06-11,0,1,16637.62,80.43,2.668,0,0,0,0,0,211.4560951,7.808,3,151315
1,2010-06-11,0,2,47089.54,80.43,2.668,0,0,0,0,0,211.4560951,7.808,3,151315
1,2010-06-18,0,1,16216.27,84.11,2.637,0,0,0,0,0,211.4537719,7.808,3,151315
1,2010-06-18,0,2,44428.71,84.11,2.637,0,0,0,0,0,211.4537719,7.808,3,151315
1,2010-06-25,0,1,16328.72,84.34,2.653,0,0,0,0,0,211.3386526,7.808,3,151315
1,2010-06-25,0,2,45299.92,84.34,2.653,0,0,0,0,0,211.3386526,7.808,3,151315
1,2010-07-02,0,2,47077.72,80.91,2.669,0,0,0,0,0,211.2235333,7.787,3,151315
1,2010-07-02,0,1,16333.14,80.91,2.669,0,0,0,0,0,211.2235333,7.787,3,151315
1,2010-07-09,0,2,46752.12,80.48,2.642,0,0,0,0,0,211.108414,7.787,3,151315
1,2010-07-09,0,1,17688.76,80.48,2.642,0,0,0,0,0,211.108414,7.787,3,151315
1,2010-07-16,0,2,44339.2,83.15,2.623,0,0,0,0,0,211.1003854,7.787,3,151315
1,2010-07-16,0,1,17150.84,83.15,2.623,0,0,0,0,0,211.1003854,7.787,3,151315
1,2010-07-23,0,2,44763.33,83.36,2.608,0,0,0,0,0,211.2351443,7.787,3,151315
1,2010-07-23,0,1,15360.45,83.36,2.608,0,0,0,0,0,211.2351443,7.787,3,151315
1,2010-07-30,0,2,45833.77,81.84,2.64,0,0,0,0,0,211.3699032,7.787,3,151315
1,2010-07-30,0,1,15381.82,81.84,2.64,0,0,0,0,0,211.3699032,7.787,3,151315
1,2010-08-06,0,2,50031.73,87.16,2.627,0,0,0,0,0,211.5046621,7.787,3,151315
1,2010-08-06,0,1,17508.41,87.16,2.627,0,0,0,0,0,211.5046621,7.787,3,151315
1,2010-08-13,0,2,45475.69,87,2.692,0,0,0,0,0,211.6394211,7.787,3,151315
1,2010-08-13,0,1,15536.4,87,2.692,0,0,0,0,0,211.6394211,7.787,3,151315
1,2010-08-20,0,2,49754.17,86.65,2.664,0,0,0,0,0,211.6033633,7.787,3,151315
1,2010-08-20,0,1,15740.13,86.65,2.664,0,0,0,0,0,211.6033633,7.787,3,151315
1,2010-08-27,0,2,49623.53,85.22,2.619,0,0,0,0,0,211.5673056,7.787,3,151315
1,2010-08-27,0,1,15793.87,85.22,2.619,0,0,0,0,0,211.5673056,7.787,3,151315
1,2010-09-03,0,1,16241.78,81.21,2.577,0,0,0,0,0,211.5312479,7.787,3,151315
1,2010-09-03,0,2,49015.05,81.21,2.577,0,0,0,0,0,211.5312479,7.787,3,151315
1,2010-09-10,1,2,45182.5,78.69,2.565,0,0,0,0,0,211.4951902,7.787,3,151315
1,2010-09-10,1,1,18194.74,78.69,2.565,0,0,0,0,0,211.4951902,7.787,3,151315
1,2010-09-17,0,2,44681.64,82.11,2.582,0,0,0,0,0,211.5224596,7.787,3,151315
1,2010-09-17,0,1,19354.23,82.11,2.582,0,0,0,0,0,211.5224596,7.787,3,151315
1,2010-09-24,0,1,18122.52,80.94,2.624,0,0,0,0,0,211.5972246,7.787,3,151315
1,2010-09-24,0,2,42477.49,80.94,2.624,0,0,0,0,0,211.5972246,7.787,3,151315
1,2010-10-01,0,1,20094.19,71.89,2.603,0,0,0,0,0,211.6719895,7.838,3,151315
1,2010-10-01,0,2,45829.02,71.89,2.603,0,0,0,0,0,211.6719895,7.838,3,151315
1,2010-10-08,0,1,23388.03,63.93,2.633,0,0,0,0,0,211.7467544,7.838,3,151315
1,2010-10-08,0,2,46387.54,63.93,2.633,0,0,0,0,0,211.7467544,7.838,3,151315
1,2010-10-15,0,1,26978.34,67.18,2.72,0,0,0,0,0,211.8137436,7.838,3,151315
1,2010-10-15,0,2,43110.79,67.18,2.72,0,0,0,0,0,211.8137436,7.838,3,151315
1,2010-10-22,0,1,25543.04,69.86,2.725,0,0,0,0,0,211.8612937,7.838,3,151315
1,2010-10-22,0,2,42371.48,69.86,2.725,0,0,0,0,0,211.8612937,7.838,3,151315
1,2010-10-29,0,1,38640.93,69.64,2.716,0,0,0,0,0,211.9088438,7.838,3,151315
